Primary_Key,School Number,School Year,School Name,Official School Name,LEA Number,LEA Name,Name Prefix Description,Principal First Name,Principal Middle Name,Principal Last Name,Principal Name Suffix,Principal Email,Address Line1,Address Line2,City,State,Zip Code 5,Zip Code 4,Phone Office Area,Phone Office Exch,Phone Office Line,Phone Fax Area,Phone Fax Exch,Phone Fax Line ,Mailing Address Line1,Mailing Address Line2,Mailing City,Mailing State,Mailing Zip Code 5,Mailing Zip Code 4,URL School Address,Sch Operational Status,Sch Operational Status Desc,Opening Effective Date,Closing Date,School Type,School Type Desc,School Program Type,School Program Type Desc,Grade Level Current,Grade Level Approved,Grade Level First Year,Title I,School Calendar Type,School Calendar Description,Extended Hours,School Schedule Type,School Schedule Type Desc,School Designation Type,School Designation Desc,SBE Region,SBE Region Names,Accreditation Status,Accreditation Status Desc,Federal School Number,College Board Number,School Membership,School Year For Sch Membership,School Teacher Count,School Year For Teachers,Cooperative Innovative HS,Cooperative MMYYYY SBE Approve,First Yr Est ADM,First Yr Est Paid Teacher FTE,Newly Constructed Facility,Occupancy Date,What Facility Will Sch Occupy,Share Space,Share Space Describe,New Sch Population From,List Of Closing Schools,County Code,County Description,Opening In School Year,Locale Type,Locale Type Desc,School Closings?,School Systartstatus,Record Created Timestamp,Record Created By,Last Changed Timestamp,Last Changed By
103262018,10326,2018,Eastlawn Elementary,Eastlawn Elementary,10,Alamance-Burlington Schools,Mr,Daniel,-,McInnis,-,daniel_mcinnis@abss.k12.nc.us,502 N Graham Hopedale Road,-,Burlington,NC,27217,2945,336,570,6180,336,570,6204,-,-,-,-,-,-,http://eae.abss.k12.nc.us,1,Open,30-Jun-96,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,Y,Year Round,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-26-2014 08:49AM,iris_scott
103282018,10328,2018,Edwin M Holt Elementary,Edwin M Holt Elementary,10,Alamance-Burlington Schools,Ms,Mariah,-,Vignali,-,mariah_vignali@abss.k12.nc.us,4751 S NC 62,-,Burlington,NC,27215,-,336,570,6420,336,570,6429,-,-,-,-,-,-,http://ehe.abss.k12.nc.us,1,Open,30-Jun-90,-,R,Regular School,N,None,KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
103402018,10340,2018,Elon Elementary,Elon Elementary,10,Alamance-Burlington Schools,Mr,Jack,-,Davern,-,john_davern@abss.k12.nc.us,510 E Haggard Avenue,-,Elon,NC,27244,9304,336,538,6000,336,538,6003,-,-,-,-,-,-,http://ece.abss.k12.nc.us,1,Open,30-Jun-90,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-26-2014 08:59AM,iris_scott
103462018,10346,2018,B Everett Jordan Elem,B Everett Jordan Elem,10,Alamance-Burlington Schools,Ms,Terri,-,Drummond,-,terri_drummond@abss.k12.nc.us,5827 Church Road,-,Graham,NC,27253,9145,336,376,3673,336,376,6243,-,-,-,-,-,-,http://bje.abss.k12.nc.us,1,Open,30-Jun-96,-,R,Regular School,N,None,KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
103472018,10347,2018,Garrett Elementary,Garrett Elementary,10,Alamance-Burlington Schools,Ms,Michelle,-,Ammann,-,michelle_ammann@abss.k12.nc.us,3224 Old Hillsborough Road,-,Mebane,NC,27302,-,919,563,2088,919,304,5384,-,-,-,-,-,-,http://age.abss.k12.nc.us,1,Open,30-Jun-00,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 12:00AM,EDDIE,02-09-2015 10:00AM,RON
103482018,10348,2018,Graham High,Graham High,10,Alamance-Burlington Schools,Ms,Charlotte ,-,Holmes,-,charlotte_holmes@abss.k12.nc.us,903 Trollinger Road,-,Graham,NC,27253,1945,336,570,6440,336,570,6446,-,-,-,-,-,-,http://grh.abss.k12.nc.us/,1,Open,30-Jun-90,-,R,Regular School,N,None,09:10:11:12,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,341560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
103502018,10350,2018,Graham Middle,Graham Middle,10,Alamance-Burlington Schools,Mr,Lee,-,Williams,-,lee_williams@abss.k12.nc.us,311 E Pine Street,-,Graham,NC,27253,3226,336,570,6460,336,570,6464,-,-,-,-,-,-,http://grm.abss.k12.nc.us/,1,Open,30-Jun-90,-,R,Regular School,N,None,6:07:08,-,-,-,Y,Year Round,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
103512018,10351,2018,Grove Park Elementary,Grove Park Elementary,10,Alamance-Burlington Schools,Ms,Traci,-,Horton,-,traci_horton@abss.k12.nc.us,141 Trail One,-,Burlington,NC,27215,5531,336,570,6115,336,570,6205,-,-,-,-,-,-,http://gpe.abss.k12.nc.us,1,Open,30-Jun-96,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-26-2014 08:50AM,iris_scott
103532018,10353,2018,Hawfields Middle,Hawfields Middle,10,Alamance-Burlington Schools,Mr,Greg,-,Hook,-,greg_hook@abss.k12.nc.us,1951 S NC 119,-,Mebane,NC,27302,-,919,563,5303,919,563,1351,-,-,-,-,-,-,http://ham.abss.k12.nc.us,1,Open,30-Jun-01,-,R,Regular School,N,None,6:07:08,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
103542018,10354,2018,Harvey R Newlin Elementary,Harvey R Newlin Elementary,10,Alamance-Burlington Schools,Mr,Larry,-,Conte,-,lawrence_conte@abss.k12.nc.us,316 Carden Street,-,Burlington,NC,27215,7305,336,570,6125,336,570,6207,-,-,-,-,-,-,http://hne.abss.k12.nc.us/,1,Open,30-Jun-96,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-26-2014 08:51AM,iris_scott
103572018,10357,2018,Haw River Elementary,Haw River Elementary,10,Alamance-Burlington Schools,Ms,Jennifer ,-,Reed,-,jennifer_reed@abss.k12.nc.us,701 E Main Street,-,Haw River,NC,27258,9644,336,578,177,336,578,8336,-,-,-,-,-,-,http://hre.abss.k12.nc.us,1,Open,30-Jun-96,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,Y,Year Round,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-08-2014 04:39PM,john_achey
103582018,10358,2018,Hillcrest Elementary,Hillcrest Elementary,10,Alamance-Burlington Schools,Mr,Jeremy,-,Wells,-,jeremy_wells@abss.k12.nc.us,1714 W Davis Street,-,Burlington,NC,27215,3841,336,570,6120,336,570,6206,-,-,-,-,-,-,http://hie.abss.k12.nc.us/,1,Open,30-Jun-96,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-26-2014 08:51AM,iris_scott
103602018,10360,2018,Hugh M Cummings High,Hugh M Cummings High,10,Alamance-Burlington Schools,Mr,Emmet,-,Alexander,-,emmet_alexander@abss.k12.nc.us,2200 N Mebane Street,-,Burlington,NC,27217,4332,336,570,6100,336,570,6107,-,-,-,-,-,-,http://hch.abss.k12.nc.us/,1,Open,30-Jun-96,-,R,Regular School,N,None,09:10:11:12,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,340508,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
103622018,10362,2018,Marvin B Smith Elementary,Marvin B Smith Elementary,10,Alamance-Burlington Schools,Ms,Julie,-,Hancock,-,julie_hancock@abss.k12.nc.us,2235 Delaney Drive,-,Burlington,NC,27215,5120,336,570,6140,336,570,6209,-,-,-,-,-,-,http://mse.abss.k12.nc.us/,1,Open,30-Jun-96,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-26-2014 08:51AM,iris_scott
103642018,10364,2018,North Graham Elementary,North Graham Elementary,10,Alamance-Burlington Schools,Ms,Nancy,-,Cothren,-,nancy_cothren@abss.k12.nc.us,1025 Trollinger Road,-,Graham,NC,27253,1947,336,578,2272,336,578,8335,-,-,-,-,-,-,http://nge.abss.k12.nc.us,1,Open,30-Jun-90,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,Y,Year Round,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-26-2014 08:51AM,iris_scott
103722018,10372,2018,Pleasant Grove Elementary,Pleasant Grove Elementary,10,Alamance-Burlington Schools,Mr,Scott,-,Lewis,-,scott_lewis@abss.k12.nc.us,2847 Pleasant Grv Sch Road,-,Burlington,NC,27217,7750,336,421,3701,336,421,9844,-,-,-,-,-,-,http://pge.abss.k12.nc.us/,1,Open,30-Jun-90,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-26-2014 08:52AM,iris_scott
103742018,10374,2018,R Homer Andrews Elementary,R Homer Andrews Elementary,10,Alamance-Burlington Schools,Ms,Sabre,-,Robinson,-,sabre_robinson@abss.k12.nc.us,2630 Buckingham Road,-,Burlington,NC,27217,3252,336,570,6170,336,570,6201,-,-,-,-,-,-,http://rae.abss.k12.nc.us/,1,Open,30-Jun-96,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-26-2014 08:52AM,iris_scott
103782018,10378,2018,Ray Street Academy,Ray Street Academy,10,Alamance-Burlington Schools,-,Michael,-,Bayless,-,michael_bayless@abss.k12.nc.us,609 Ray Street,-,Graham,NC,27253,-,336,570,6644,336,570,6353,-,-,-,-,-,-,http://.abss.k12.nc.us,1,Open,30-Jun-96,-,A,Alternative Education,N,None,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,-,-,3.70003E+11,340517,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,04-06-2016 09:23AM,iris_scott
103802018,10380,2018,South Graham Elementary,South Graham Elementary,10,Alamance-Burlington Schools,Ms,Elizabeth,-,Price,-,elizabeth_price@abss.k12.nc.us,320 Ivey Road,-,Graham,NC,27253,3723,336,570,6520,336,570,6521,-,-,-,-,-,-,http://sge.abss.k12.nc.us,1,Open,30-Jun-90,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,Y,Year Round,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-08-2014 04:39PM,john_achey
103842018,10384,2018,South Mebane Elementary,South Mebane Elementary,10,Alamance-Burlington Schools,Ms,Rebecca,-,Royal,-,rebecca_royal@abss.k12.nc.us,600 S 3rd Street,-,Mebane,NC,27302,3120,919,563,6905,919,563,4616,-,-,-,-,-,-,http://sme.abss.k12.nc.us,1,Open,30-Jun-90,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-26-2014 08:52AM,iris_scott
103882018,10388,2018,Southern High,Southern High,10,Alamance-Burlington Schools,Ms,Teresa,-,Faucette,-,teresa_faucette@abss.k12.nc.us,631 Southern High Road,-,Graham,NC,27253,9425,336,570,6400,336,570,6404,-,-,-,-,-,-,http://sah.abss.k12.nc.us/,1,Open,30-Jun-90,-,R,Regular School,N,None,09:10:11:12,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,340505,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
103902018,10390,2018,Southern Middle,Southern Middle,10,Alamance-Burlington Schools,Ms,Heather,-,Ward,-,heather_ward@abss.k12.nc.us,771 Southern High Road,-,Graham,NC,27253,9426,336,570,6500,336,570,6504,-,-,-,-,-,-,http://sam.abss.k12.nc.us,1,Open,30-Jun-90,-,R,Regular School,N,None,6:07:08,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
103922018,10392,2018,Sylvan Elementary,Sylvan Elementary,10,Alamance-Burlington Schools,Mr,Mark,-,Gould,-,mark_gould@abss.k12.nc.us,7718 Sylvan Road,-,Snow Camp,NC,27349,9504,336,376,3350,336,376,3318,-,-,-,-,-,-,http://sye.abss.k12.nc.us/,1,Open,30-Jun-90,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-26-2014 08:52AM,iris_scott
103942018,10394,2018,Turrentine Middle,Turrentine Middle,10,Alamance-Burlington Schools,Mr,Frederick,-,Sellars,-,frederick_sellars@abss.k12.nc.us,1710 Edgewood Avenue,-,Burlington,NC,27215,4938,336,570,6150,336,570,6210,-,-,-,-,-,-,http://tum.abss.k12.nc.us/,1,Open,30-Jun-96,-,R,Regular School,N,None,6:07:08,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
103962018,10396,2018,Walter M Williams High,Walter M Williams High,10,Alamance-Burlington Schools,Ms,Stephanie,-,Hunt,-,stephanie_hunt@abss.k12.nc.us,1307 S Church Street,-,Burlington,NC,27215,4919,336,570,6161,336,570,6214,-,-,-,-,-,-,http://wwh.abss.k12.nc.us/,1,Open,30-Jun-96,-,R,Regular School,N,None,09:10:11:12,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,340520,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
104002018,10400,2018,Western Alamance High,Western Alamance High,10,Alamance-Burlington Schools,Mr,Todd,-,Stephan,-,todd_stephan@abss.k12.nc.us,1731 N NC 87,-,Elon,NC,27244,-,336,538,6020,336,538,6014,-,-,-,-,-,-,http://wah.abss.k12.nc.us/,1,Open,30-Jun-90,-,R,Regular School,N,None,09:10:11:12,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,341180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
104032018,10403,2018,Western Middle,Western Middle,10,Alamance-Burlington Schools,Mr,Gregory,-,Holland,-,gregory_holland@abss.k12.nc.us,2100 Eldon Drive,-,Elon,NC,27244,9747,336,538,6010,336,538,6012,-,-,-,-,-,-,http://wam.abss.k12.nc.us/,1,Open,30-Jun-90,-,R,Regular School,N,None,6:07:08,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
